highest_charting_position,number_of_times_charted,track_name,streams,artist_name,artist_followers,track_id,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,key
1,83,Blinding Lights,15011809.0,The Weeknd,35305637.0,0VjIjW4GlUZAMYd2vXMi3b,92.0,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040.0,0.334,C#
12,10,happier,14849078.0,Olivia Rodrigo,6266514.0,2tGvwE8GcFKwNdAXMnlbfl,92.0,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933.0,0.338,F#
27,3,Pepas,14809458.0,Farruko,10502148.0,5fwSHlTEWpluwOM0Sxnh5k,92.0,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120.0,0.442,G
18,3,Motley Crew,14329162.0,Post Malone,33651775.0,40uMIn2zJLAQhNXghRjBed,90.0,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213.0,0.288,D#
15,23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,14273637.0,"Riton, Nightcrawlers",83689.0,4cG7HUWYHBV6R6tHn1gxrl,92.0,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153.0,0.801,D
3,28,Astronaut In The Ocean,14174752.0,Masked Wolf,365975.0,3Ofmpyhv5UAQ70mENzB277,89.0,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780.0,0.472,E
5,21,Leave The Door Open,13963568.0,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754.0,7MAibcTli4IisCtbHKrGMh,92.0,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,242096.0,0.719,F
32,1,Don't Go Yet,13205250.0,Camila Cabello,22683756.0,1058fW9H3fZA6QjYCdOBad,88.0,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,164842.0,0.61,A#
11,10,favorite crime,12818935.0,Olivia Rodrigo,6266514.0,5JCoSi02qi3jJeHdZXMmR8,91.0,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,152667.0,0.218,A
10,15,Pareja Del Año,12572307.0,"Sebastian Yatra, Myke Towers",16216789.0,2rCbl9naJYhaxjLsfx88uM,91.0,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,195053.0,0.808,E
4,83,Watermelon Sugar,11996689.0,Harry Styles,16112621.0,6UelLqGlWMcVH1E5c4H7lY,90.0,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000.0,0.557,C
3,16,RAPSTAR,11683383.0,Polo G,4840346.0,43PGPuHIlVOc04jrZVh9L6,89.0,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926.0,0.437,F#
15,5,You Right,11629418.0,"Doja Cat, The Weeknd",8640063.0,0k4d5YPDr1r7FX77VdqWez,89.0,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173.0,0.436,G#
39,3,911 - Remix,11553846.0,"Sech, Jhay Cortez",8758283.0,27RSJHEA99Y0Vsow7nA37A,89.0,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631.0,0.784,G
1,39,DÁKITI,11524288.0,"Bad Bunny, Jhay Cortez",36142273.0,4MzXwWMhyBbmu6hOcLVD49,86.0,0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,205090.0,0.145,E
41,13,Miénteme,11477024.0,"TINI, Maria Becerra",2936204.0,0cOa970mzTWAxKtltpkpLc,90.0,0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,165275.0,0.916,D
17,10,"jealousy, jealousy",11287301.0,Olivia Rodrigo,6266514.0,0MMyJUC3WNnFS1lit5pTjk,90.0,0.695,0.575,-6.334,0.116,0.198,0.0614,163.929,173160.0,0.699,A#
33,6,Poblado - Remix,11283626.0,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",29051363.0,1WedZeiezCmCEOzLwhx0hV,89.0,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,393280.0,0.646,D#
2,49,Dynamite,11196819.0,BTS,37106176.0,4saklk6nie3yiGePpBwUoc,89.0,0.746,0.765,-4.41,0.0993,0.0112,0.0936,114.044,199054.0,0.737,F#
9,39,The Business,10739770.0,Tiësto,5785065.0,6f3Slt0GbA2bPZlz0aIFXN,90.0,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000.0,0.235,G#
46,10,Heartbreak Anthem (with David Guetta & Little Mix),10315460.0,Galantis,3120157.0,5K6Ssv4Z3zRvxt0P6EKUAP,89.0,0.595,0.784,-4.878,0.102,0.216,0.0608,124.111,183726.0,0.479,C#
1,51,Mood (feat. iann dior),10222056.0,24kGoldn,1274433.0,4jPy3l0RUwlUI9T5XHBW2m,89.0,0.701,0.716,-3.671,0.0361,0.174,0.324,91.007,140533.0,0.732,G
48,3,Entre Nosotros,10215216.0,"Tiago PZK, LIT killah",375865.0,6w8yBI2vthyN9UnwO4UBWb,89.0,0.729,0.513,-6.345,0.0455,0.494,0.137,170.064,192353.0,0.789,F
29,6,Fiel - Remix,10032746.0,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075.0,43qcs9NpJhDxtG91zxFkj7,89.0,0.839,0.711,-4.733,0.0473,0.398,0.118,97.99,349547.0,0.573,F#
20,11,Build a Bitch,9841998.0,Bella Poarch,389076.0,7BoobGhD4x5K96Me0hqC8Q,89.0,0.855,0.463,-7.454,0.0367,0.217,0.347,102.931,122773.0,0.866,D#
19,4,"Nicky Jam: Bzrp Music Sessions, Vol. 41",9799701.0,"Bizarrap, Nicky Jam",3126961.0,03LfOYi0icz4souspZVVhq,88.0,0.627,0.849,-3.167,0.153,0.0913,0.145,89.907,158087.0,0.818,C#
52,4,Tiroteo - Remix,9781153.0,"Marc Seguí, Rauw Alejandro, Pol Granch",45362.0,4OwhwvKESFtuu06dTgct7i,88.0,0.75,0.522,-7.018,0.0293,0.282,0.0743,110.427,321556.0,0.601,A
19,3,NDA,9635619.0,Billie Eilish,47014200.0,38GBNKZUhfBkk3oNlWzRYd,84.0,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,195777.0,0.554,G#
40,14,Rasputin,9600707.0,"Majestic, Boney M.",32178.0,6FO4K7MrMoYkc5BlpX5LNV,49.0,0.83,0.839,-6.985,0.0699,0.00201,0.0353,128.012,345543.0,0.59,F#
52,9,Leave Before You Love Me (with Jonas Brothers),9428494.0,Marshmello,31541310.0,4qu63nuBpdn0qHUHuObEj1,89.0,0.721,0.738,-4.77,0.0403,0.00226,0.118,119.976,154983.0,0.637,G
56,13,Freaks,9319465.0,Surf Curse,495226.0,7EkWXAI1wn8Ii883ecd9xr,89.0,0.345,0.941,-9.918,0.0466,3.84e-05,0.0511,179.626,147062.0,0.407,A
57,5,Meu Pedaço de Pecado,9206366.0,João Gomes,409173.0,2kJRlOyrxsy7Ot3c5TZ8Q6,83.0,0.668,0.887,-4.404,0.0564,0.369,0.257,151.92,157176.0,0.907,B
31,12,2/Catorce,9086979.0,"Rauw Alejandro, Mr. Naisgai",6080597.0,71R8HJxQk5qMiRstrlXN9t,87.0,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,212032.0,0.432,D#
34,21,Beautiful Mistakes (feat. Megan Thee Stallion),9048966.0,Maroon 5,32262679.0,5zFglKYiknIxks8geR8rcL,88.0,0.713,0.676,-5.483,0.027,0.0377,0.154,99.048,227395.0,0.721,A#
31,15,Run,9017356.0,OneRepublic,12169108.0,2UbVnbE5FH6008mAm6Mmgw,88.0,0.682,0.72,-8.173,0.0381,0.326,0.148,117.003,169011.0,0.673,B
46,7,Thot Shit,8977336.0,Megan Thee Stallion,4787261.0,5zNW5ARjYhJQJz1AChP33n,88.0,0.95,0.693,-3.424,0.0898,0.0133,0.173,130.02,184635.0,0.891,A
26,26,Your Love (9PM),8935418.0,"ATB, Topic, A7S",291777.0,5YaskwnGDZFDRipaqzbwQx,88.0,0.669,0.784,-5.603,0.112,0.194,0.115,125.993,150053.0,0.517,G
9,10,brutal,8881356.0,Olivia Rodrigo,6266514.0,6SRsiMl7w1USE4mFqrOhHC,89.0,0.672,0.526,-6.446,0.0599,0.0311,0.28,123.999,143747.0,0.28,E
2,34,Save Your Tears,8843110.0,The Weeknd,35305637.0,37BZB0z9T8Xu7U3e65qxFy,94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593,C
8,24,Heartbreak Anniversary,8832945.0,Giveon,1398563.0,3FAJ6O0NOHQV8Mc5Ri6ENp,87.0,0.449,0.465,-8.964,0.0791,0.524,0.303,89.087,198371.0,0.543,C
2,83,Don't Start Now,8821971.0,Dua Lipa,1250353.0,7njGslFmqBmOSSOpTyZCs9,0.0,0.793,0.793,-4.521,0.083,0.0123,0.0951,123.95,183290.0,0.679,B
33,7,Dinero,8564775.0,Trinidad Cardona,116817.0,3ggtU1ZOKO8ZNiqPNyXGcm,87.0,0.708,0.782,-4.687,0.0674,0.00772,0.107,119.997,160880.0,0.484,D
35,48,Sweater Weather,8564017.0,The Neighbourhood,6662605.0,2QjOHCTQ1Jl3zawyYOpxh6,87.0,0.612,0.807,-2.81,0.0336,0.0495,0.101,124.053,240400.0,0.398,A#
69,3,Sobrio,8514480.0,Maluma,26769304.0,4HzqWEdAbzcVFDv0pvxV4w,87.0,0.762,0.77,-2.758,0.223,0.138,0.15,177.998,201181.0,0.631,F
12,83,Someone You Loved,8490162.0,Lewis Capaldi,8384096.0,7qEHsqek33rTcFNT9PFqLf,86.0,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891,182161.0,0.446,C#
71,1,Over The Top (feat. Drake),8269753.0,Smiley,26131.0,3yaYgjEFkRw3PVjW9mV1TO,83.0,0.833,0.498,-5.196,0.117,0.0493,0.119,139.928,153406.0,0.259,A#
72,2,2055,8133401.0,Sleepy Hallow,408696.0,4XvcHTUfIlWfyJTRG0aqlo,85.0,0.829,0.512,-5.865,0.187,0.492,0.12,80.511,123987.0,0.638,F#
33,18,EL MAKINON,8102107.0,"KAROL G, Mariah Angeliq",17775316.0,2FSGUA0gFgGeQdprjtGM2M,87.0,0.635,0.706,-3.224,0.125,0.256,0.108,88.863,209160.0,0.443,F
74,8,Loco,8093413.0,"Justin Quiles, Chimbala, Zion & Lennox",2895789.0,6PDlkWmrq2ZKiUuFt2aQsH,87.0,0.77,0.899,-2.981,0.0494,0.222,0.0894,128.05,231604.0,0.851,G#
75,4,Love Tonight - Edit,8006336.0,Shouse,27116.0,6OufwUcCqo81guU2jAlDVP,87.0,0.727,0.681,-7.114,0.0265,0.00214,0.0861,123.028,241970.0,0.448,F
12,11,ZITTI E BUONI,7975148.0,Måneskin,3377762.0,776AftMmFFAWUIEAb3lHhw,86.0,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,194787.0,0.644,E
2,23,telepatía,7912399.0,Kali Uchis,1999954.0,6tDDoYIxWvMLTdKpjFkc1B,88.0,0.653,0.524,-9.016,0.0502,0.112,0.203,83.97,160191.0,0.553,B
9,14,Botella Tras Botella,7735223.0,"Gera MX, Christian Nodal",2043294.0,2MnLkFqY9Rpg9s3Zv6ZJdK,87.0,0.727,0.546,-4.572,0.0437,0.656,0.122,106.891,197333.0,0.69,C
7,24,Fiel,7717211.0,"Los Legendarios, Wisin, Jhay Cortez",31488.0,7Bk0uXKk1uPT0XuQbpFzvs,88.0,0.849,0.701,-4.407,0.06,0.407,0.112,98.005,261667.0,0.505,F#
1,83,Dance Monkey,7687058.0,Tones And I,2819593.0,2XU0oxnq2qxCpomAAuJY8K,83.0,0.824,0.588,-6.4,0.0924,0.692,0.149,98.027,209438.0,0.513,F#
7,34,WITHOUT YOU,7642130.0,The Kid LAROI,2230022.0,27OeeYzk6klgBh83TSvGMA,87.0,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,161385.0,0.467,C
6,21,Wants and Needs (feat. Lil Baby),7637626.0,Drake,56308172.0,65OVbaJR5O1RmwOQx0875b,87.0,0.578,0.449,-6.349,0.286,0.0618,0.119,136.006,192956.0,0.1,C#
83,2,Bezos I,7516291.0,Bo Burnham,1042079.0,0Kdj7nwaYQmvhxnqZaIQuW,84.0,0.694,0.948,-5.307,0.0361,0.00936,0.139,115.044,58149.0,0.705,D
76,3,Love Again,7465445.0,Dua Lipa,1250353.0,2sN1pMv6d2t5GlvN6IBMlK,0.0,0.659,0.667,-4.668,0.0339,0.00173,0.1,115.982,258004.0,0.468,B
32,28,Goosebumps - Remix,7452633.0,"Travis Scott, HVME",17719446.0,5uEYRdEIh9Bo4fpjDd4Na9,87.0,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803.0,0.808,C#
11,55,Head & Heart (feat. MNEK),7434252.0,Joel Corry,207547.0,6cx06DFPPHchuUAcTxznu9,87.0,0.734,0.874,-3.158,0.0662,0.168,0.0489,122.953,166028.0,0.905,G#
42,20,BED,7383369.0,"Joel Corry, RAYE, David Guetta",207547.0,0siYMEsGrzzzlWLXK5zJfS,87.0,0.671,0.782,-4.593,0.0341,0.0142,0.333,123.989,178088.0,0.618,F#
78,8,Iko Iko (My Bestie),7381585.0,"Justin Wellington, Small Jam",18228.0,7MC4XR9M9amdmKQr2iDF7i,87.0,0.862,0.753,-5.356,0.0625,0.131,0.077,105.039,182857.0,0.827,F
89,1,Better Believe,7365053.0,"Belly, The Weeknd, Young Thug",203972.0,3zs87EV3EZSh2UpiXxT52Y,80.0,0.797,0.573,-7.85,0.319,0.159,0.144,124.995,206629.0,0.445,C
23,25,Arcade,7353795.0,Duncan Laurence,287361.0,1Xi84slp6FryDSCbzq4UCD,84.0,0.45,0.329,-12.603,0.0441,0.818,0.135,71.884,183624.0,0.266,A
55,13,512,7336542.0,"Mora, Jhay Cortez",151486.0,5jzEwSyyymBlf1fa1o39T2,87.0,0.818,0.673,-7.542,0.148,0.348,0.172,87.961,193636.0,0.695,E
1,40,positions,7244853.0,Ariana Grande,67158068.0,35mvY5S1H3J2QZyna3TFe0,86.0,0.737,0.802,-4.771,0.0878,0.468,0.0931,144.015,172325.0,0.682,C
6,84,Circles,7156162.0,Post Malone,33651775.0,21jGcNKet2qwijlDFuPiPb,87.0,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042,215280.0,0.553,C
94,1,Blaues Licht,7084292.0,"RAF Camora, Bonez MC",1329531.0,08EPQiLMyGB8GJX2EiVoCM,78.0,0.819,0.835,-4.899,0.102,0.398,0.252,144.955,144264.0,0.703,G#
75,10,Ram Pam Pam,7064003.0,"Natti Natasha, Becky G",6341942.0,4DHDIdeayp8xvlyg22wREO,86.0,0.908,0.813,-2.749,0.0777,0.305,0.278,97.018,200785.0,0.924,F
96,4,In Da Getto,6984262.0,"J Balvin, Skrillex",1250353.0,5lGtPshEJlsJgmqKLi41LY,2.0,0.915,0.72,-3.126,0.0459,0.025,0.0942,126.986,131067.0,0.631,G#
97,3,Woman,6858466.0,Doja Cat,8640063.0,6Uj1ctrBOjOas8xZXGqKk4,86.0,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,172627.0,0.881,F
60,8,t r a n s p a r e n t s o u l feat. Travis Barker,6853994.0,WILLOW,1521837.0,1QL7nSDZCwZMnbisV4KOXt,85.0,0.39,0.83,-5.201,0.0563,0.0021,0.156,90.021,168030.0,0.191,B
99,2,Clash (feat. Stormzy),6825463.0,Dave,1427540.0,2oUwMN5VfdGX10XeQJLBBi,79.0,0.871,0.519,-6.549,0.258,0.313,0.0869,140.013,251733.0,0.532,D
22,83,Before You Go,6813800.0,Lewis Capaldi,8384096.0,2gMXnyrvIjhVBUZwvLZDMP,83.0,0.459,0.575,-4.858,0.0573,0.604,0.0885,111.881,215107.0,0.183,D#
52,19,Levitating,6799831.0,Dua Lipa,27142474.0,463CkQjx2Zk1yXoBuierM9,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#
85,5,Reckless,6711375.0,Madison Beer,3363988.0,5ajjAnNRh8bxFvaVHzpPjh,86.0,0.386,0.426,-6.642,0.0363,0.807,0.14,180.104,203385.0,0.261,D#
103,5,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",6709106.0,BANDIDO,16074.0,7COGuXyTr12KvdaYXMqheC,85.0,0.769,0.812,-2.088,0.0825,0.281,0.0781,180.003,280274.0,0.926,C#
88,83,Believer,6699895.0,Imagine Dragons,35285425.0,0pqnGHJpmpxLKifKRmU6WP,86.0,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,204347.0,0.666,A#
2,48,"Lemonade (feat. Gunna, Don Toliver & NAV)",6697067.0,Internet Money,411579.0,02kDW379Yfd5PzW5A6vuGt,82.0,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,195429.0,0.471,C#
45,19,Talking to the Moon,6660319.0,Bruno Mars,32574754.0,161DnLWsx1i3u1JT05lzqU,83.0,0.523,0.606,-4.754,0.0301,0.512,0.106,145.837,217867.0,0.065,C#
3,83,Roses - Imanbek Remix,6653690.0,SAINt JHN,742692.0,0zLCBJZSiELJf02ucPP9wb,72.0,0.769,0.719,-5.472,0.0474,0.0143,0.359,121.955,176867.0,0.863,G#
59,11,Sal y Perrea,6635076.0,Sech,8758283.0,5u7twkeask1VIyDeNTElSU,86.0,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,216510.0,0.813,A#
109,3,Fulanito,6614072.0,"Becky G, El Alfa",10356559.0,59L8x0xy8njj75vzVCPMqg,86.0,0.93,0.837,-4.632,0.187,0.256,0.239,111.898,158532.0,0.821,G
110,1,París,6584896.0,Ingratax,56699.0,4bF2y8rR7GUjrd5LNEvej3,86.0,0.57,0.455,-5.748,0.0996,0.441,0.0654,167.933,151429.0,0.399,C#
46,83,lovely (with Khalid),6569547.0,Billie Eilish,47014200.0,0u2P5u6lvoDfwTYjAADbn4,86.0,0.351,0.296,-10.109,0.0333,0.934,0.095,115.284,200186.0,0.12,E
24,83,Sunflower - Spider-Man: Into the Spider-Verse,6546948.0,"Post Malone, Swae Lee",1250353.0,3KkXRkHbMCARz0aVfEt68P,82.0,0.76,0.479,-5.574,0.0466,0.556,0.0703,89.911,158040.0,0.913,D
113,3,double take,6539852.0,dhruv,73211.0,2CVChktEKBsM6v4IfdFU5k,86.0,0.663,0.434,-11.177,0.0648,0.828,0.249,109.075,171743.0,0.225,G#
9,29,Streets,6502302.0,Doja Cat,8640063.0,60ynsPSSKe6O3sfwRnIBRf,86.0,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,226987.0,0.189,B
80,8,By Your Side (feat. Tom Grennan),6488622.0,Calvin Harris,21942793.0,0vR2rIVORmgeKiGIgNT0fV,85.0,0.733,0.96,-3.597,0.0295,0.0514,0.287,124.01,189672.0,0.811,G
116,3,MORENA,6469500.0,Luan Santana,5420471.0,4PQdrXMDHDPl1RczrrlADd,85.0,0.526,0.731,-4.662,0.0887,0.18,0.0891,86.959,193221.0,0.476,B
80,80,Shape of You,6452492.0,Ed Sheeran,83293380.0,7qiZfU4dY1lWllzX7mPBI3,85.0,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977,233713.0,0.931,C#
9,83,Señorita,6317487.0,"Shawn Mendes, Camila Cabello",33879560.0,0TK2YIli7K1leLovkQiNik,82.0,0.759,0.54,-6.039,0.0287,0.037,0.0945,116.947,190960.0,0.75,A
5,21,Hold On,6300416.0,Justin Bieber,1250353.0,49xx65gvlD7xXjDTavFqaJ,0.0,0.658,0.634,-5.797,0.0413,0.0106,0.132,139.98,170813.0,0.29,C#
99,83,Perfect,6278765.0,Ed Sheeran,83293380.0,0tgVpDi06FyKpA1z0VMD4v,86.0,0.599,0.448,-6.312,0.0232,0.163,0.106,95.05,263400.0,0.168,G#
80,5,2:50 Remix,6244011.0,"MYA, TINI, Duki",282045.0,74znaWw1hmQBusGPSOuTFy,85.0,0.818,0.812,-4.425,0.0475,0.112,0.234,139.966,231708.0,0.844,A
2,35,LA NOCHE DE ANOCHE,6242863.0,"Bad Bunny, ROSALÍA",36142273.0,2XIc1pqjXV3Cr2BQUGNBck,86.0,0.856,0.618,-4.892,0.286,0.0303,0.0866,81.993,203201.0,0.391,G
1,67,ROCKSTAR (feat. Roddy Ricch),6180056.0,DaBaby,7593046.0,7ytR5pFWmSjzHJIeQkgog4,86.0,0.746,0.69,-7.956,0.164,0.247,0.101,89.977,181733.0,0.497,B
12,53,Heather,6164795.0,Conan Gray,3794081.0,4xqrdfXkTW4T0RauPLv3WA,86.0,0.357,0.425,-7.301,0.0333,0.584,0.322,102.078,198040.0,0.27,F
13,55,you broke me first,6152121.0,Tate McRae,1647262.0,45bE4HXI0AwGZXfZtMp8JR,86.0,0.667,0.373,-9.389,0.05,0.785,0.0906,124.148,169266.0,0.0823,E
126,18,The Nights,6136340.0,Avicii,20270895.0,0ct6r3EGTcMLPtrXHDvVjc,85.0,0.527,0.835,-5.298,0.0433,0.0166,0.249,125.983,176658.0,0.654,F#
122,37,Riptide,6089242.0,Vance Joy,2421254.0,3JvrhDOgAt6p7K8mDyZwRd,78.0,0.484,0.731,-6.694,0.0379,0.431,0.151,101.654,204280.0,0.51,C#
128,30,Smells Like Teen Spirit,6065267.0,Nirvana,13261089.0,5ghIJDpPoe3CfHMGu71E6T,77.0,0.502,0.912,-4.556,0.0564,2.55e-05,0.106,116.761,301920.0,0.72,C#
11,10,enough for you,6040918.0,Olivia Rodrigo,6266514.0,2TOzTqQXNmR2zDJXihjZ2e,86.0,0.638,0.259,-10.706,0.0898,0.753,0.219,88.485,202827.0,0.269,G
99,42,Daddy Issues,6014443.0,The Neighbourhood,6662605.0,5E30LdtzQTGqRvNd7l6kG5,85.0,0.588,0.521,-9.461,0.0329,0.0678,0.123,85.012,260173.0,0.337,A#
131,3,Aquelas Coisas,6012839.0,João Gomes,409173.0,0FqVtQxRD3HsPltldG5v5M,84.0,0.682,0.873,-4.163,0.0449,0.402,0.0946,150.006,147072.0,0.964,F#
19,12,Miss The Rage (feat. Playboi Carti),5952490.0,Trippie Redd,6430522.0,2BITQ360Knh6qNAOqR7Dyq,85.0,0.584,0.859,-5.616,0.121,0.0144,0.847,77.005,236883.0,0.369,G#
4,83,Memories,5928329.0,Maroon 5,32262679.0,4cktbXiXOapiLBMprHFErI,85.0,0.775,0.327,-7.241,0.0557,0.841,0.0821,91.05,189486.0,0.595,B
76,16,Another Love,5914661.0,Tom Odell,1838616.0,7otCGmgp9h4CsR2LhwB6gt,67.0,0.445,0.537,-8.532,0.04,0.695,0.0941,122.764,244360.0,0.131,E
135,4,Here's Your Perfect,5912784.0,Jamie Miller,64288.0,2aTKrdenCq5qBOoJPFdn4P,85.0,0.558,0.454,-5.335,0.0551,0.499,0.146,113.12,158594.0,0.424,F#
