artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,valence,top_200
Mike Douglas,"Silent Night, Holy Night",2RR1T8N9txDJbbXy9NglqP,0.0,0.956,0.128,151453.0,0.0311,A#,0.106,-25.093,0.0435,181.086,0.0726,0
Minimatic,Joe's Break,2peYxS4wKuwbOxcw8frdHb,37.0,0.132,0.761,248000.0,0.733,C,0.0879,-7.881,0.0953,115.065,0.815,0
Darlene Zschech,O Come All Ye Faithful (Come & Adore),5VYOgISqyGjLh6OdpSnAid,29.0,0.317,0.316,484947.0,0.452,A,0.114,-10.049,0.0331,71.789,0.104,0
Natiruts,Você Me Encantou Demais - Ao Vivo,4bCcolgdC8YsXUiqRgEgRU,62.0,0.0733,0.727,211373.0,0.56,F#,0.734,-7.539,0.0428,87.973,0.441,0
Chorus,Aguner Parasmoni,7qk3LVRl5CFeTRWbuP0YCZ,0.0,0.757,0.449,341800.0,0.173,C,0.144,-13.68,0.0398,117.552,0.388,0
311,Born To Live,3LJ0VnQrM545gKs9AFi4dC,43.0,0.00563,0.657,210053.0,0.919,B,0.0744,-5.938,0.0567,108.017,0.894,0
Mogul Music Inc.,Rock-a-Bye Baby,25qZucIByhUhjp9BdLpazM,2.0,0.489,0.545,161045.0,0.398,G#,0.128,-12.829,0.0552,139.964,0.462,0
Buju Banton,Murderer,1q4L2qovcSdoEVY1PRuJHM,53.0,0.136,0.841,236640.0,0.511,C,0.102,-9.003,0.155,137.983,0.664,0
Chorus - Sleeping Beauty,"Poor Aurora / Sleeping Beauty - From ""Sleeping Beauty""/Soundtrack Version",5QzkQYgJtGkwhVopji1BdR,27.0,0.973,0.217,177573.0,0.0877,G,0.119,-24.28,0.0406,106.508,0.0463,0
Yazmin Lacey,90 Degrees,46T4UTffeX2GrfqAU1hGjZ,44.0,0.164,0.633,255025.0,0.493,C#,0.0591,-9.607,0.0509,147.759,0.469,0
The Spinners,How Could I Let You Get Away,4jnPGIKO0aljX74CmUA2CH,34.0,0.749,0.605,229773.0,0.325,G,0.216,-12.716,0.0274,74.432,0.671,0
The White Stripes,"Sister, Do You Know My Name?",6xUwTW2NLLDUSCbbQEa09c,29.0,0.482,0.412,171840.0,0.358,D#,0.0803,-9.734,0.0319,69.343,0.366,0
Georges Bizet,Bizet: Carmen: Non! Tu ne m'aimes pas! - Act Two,4Mb2XoVuyQK6yAbcbUKOk0,16.0,0.991,0.234,257040.0,0.236,C,0.127,-19.226,0.0532,83.559,0.115,0
Jerry Goldsmith,"Welcome Aboard, Sir",5afHkybDiVHJECCxgY3Jc4,31.0,0.42,0.176,131240.0,0.329,C,0.0778,-16.644,0.0321,77.001,0.0718,0
The Specials,"Blank Expression - BBC in Concert: Live at Paris Theatre, 15 December 1979",3LHVOrM4tpaZ1KTCEZ3ZO9,24.0,0.255,0.589,118907.0,0.759,D,0.784,-7.379,0.176,81.022,0.797,0
Jacques Offenbach,"Les Contes d'Hoffmann, Act III: Barcarolle",7HNBVsVf4qdtAy96UshBml,14.0,0.95,0.17,184720.0,0.0352,D,0.0929,-26.511,0.0365,83.875,0.102,0
Hillsong Young & Free,Real Love - Studio Version,0epQ2DrozCuhE2Q7ZRtF2h,46.0,0.00293,0.556,223120.0,0.779,D,0.0707,-5.486,0.0333,139.995,0.551,0
Mio Yamazaki,Noise,1jb4DWl5pT1EkahtXlVent,20.0,0.0415,0.548,174147.0,0.919,D,0.345,-2.671,0.0436,112.521,0.459,0
The Mountain Goats,Cry for Judas,5KuJakrq1tNeF1c0WUua2j,37.0,0.0226,0.591,192653.0,0.774,F#,0.189,-7.341,0.0408,91.865,0.776,0
Bedřich Smetana,"Má Vlast, JB1:112: 2. Vltava",5P6ySmn4cxd3pF4BNeMOIG,28.0,0.855,0.124,766000.0,0.15,E,0.231,-17.591,0.0364,81.819,0.0623,0
Hans Zimmer,Am I Not Merciful?,2SGa3eKYVadfZ22PSKU4YK,36.0,0.131,0.0652,393467.0,0.113,D,0.112,-19.645,0.0423,73.389,0.0382,0
The Hit Crew Kids,Little Jack Horner,0niOISi5IiKQjHKK1dSK0V,0.0,0.158,0.758,52027.0,0.294,C,0.0565,-7.676,0.0344,93.052,0.601,0
Ulices Chaidez,Que Bonito Es Querer,7Jcvu13qlP4km0uDX9p2pZ,69.0,0.802,0.746,209664.0,0.384,G,0.133,-6.905,0.0338,134.044,0.427,0
"Gotay ""El Autentiko""",Lo De Nosotros (feat. Arcangel),4wQTVQ3SnT3ei9cWJqQCyJ,41.0,0.326,0.73,208085.0,0.778,C#,0.805,-6.782,0.0903,93.981,0.64,0
Rancid,Meteor Of War,3ZrS67ZNgMPgLhuyhmJJN2,23.0,0.00386,0.375,81067.0,0.986,B,0.69,-3.224,0.12,168.568,0.258,0
2NE1,멘붕 - CL SOLO,0EmJRLb8a5axjX0swbsVBR,55.0,0.0166,0.756,195748.0,0.792,D,0.108,-4.015,0.0366,99.993,0.207,0
Walter Beasley,Barack's Groove,5c0eXApbTE7SLZMhMFHtju,37.0,0.672,0.696,229640.0,0.729,F,0.133,-6.812,0.0362,94.983,0.764,0
Gaetano Donizetti,"Donizetti: La fille du Regiment: Au bruit de la guerre - Marie, Sulpice - Act One",6CDhFzQ6UNjciTGAflc9Js,7.0,0.91,0.44,163640.0,0.193,C,0.438,-19.127,0.103,121.263,0.107,0
Debbie Davis,Here's To Life,64L0tfz2MAhq3YDeK803Vm,10.0,0.911,0.292,326968.0,0.115,C,0.107,-13.391,0.0351,77.466,0.144,0
Aziz Ansari,I Was The Cutest Kid of All Time,5pX94guDZptCJUi3r59kqp,35.0,0.803,0.588,288000.0,0.965,G,0.581,-3.616,0.867,123.733,0.308,0
The Fray,Love Don't Die,6IDDwI0YOCAUDhMZltQekS,56.0,0.0095,0.632,183093.0,0.805,B,0.197,-4.488,0.0303,115.489,0.275,0
Trey Songz,Reflection,10qFh6PlEkDZBdgkyXmL3R,58.0,0.517,0.684,230117.0,0.56,E,0.12,-7.939,0.056,140.021,0.149,0
Ludwig van Beethoven,"String Quartet No. 14 in C-Sharp Minor, Op. 131: IV. Andante ma non troppo e molto cantabile – Più mosso – Andante moderato e lusinghiero – Adagio – Allegretto – Adagio, ma non troppo e semplice – Allegretto",2B5lRm9p2BL7G4oBcu8zvO,21.0,0.958,0.212,843987.0,0.0488,A,0.0716,-24.287,0.0484,88.717,0.123,0
Patton Oswalt,Pot Needs a Movie - Patton Oswalt,5wK4hKbrhbDCFfx7ywJ19f,11.0,0.707,0.656,153187.0,0.482,C#,0.868,-11.617,0.927,103.738,0.761,0
Soundgarden,Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,74.0,0.000203,0.354,318587.0,0.825,F#,0.0758,-5.325,0.0406,105.495,0.16,0
Borgore,Unicorn Zombie Apocalypse,4OpPtBlAU2ayk7rS0SyxlM,55.0,0.00425,0.676,277500.0,0.885,C#,0.0519,-2.946,0.0658,128.04,0.185,0
Steve Harvey,Money,47OnSzfiXc6w6oovjOCNlN,0.0,0.824,0.659,100086.0,0.62,F#,0.951,-9.269,0.947,95.894,0.644,0
Matt Maeson,Cliffy,5ULG2PLrYFHu2yan0Qutqe,53.0,0.28,0.724,228387.0,0.457,F#,0.0856,-8.561,0.0439,120.025,0.0738,0
Yann Tiersen,Beure Kentañ,3XmxzL4kId6Emn37aGdaLS,29.0,0.713,0.197,474507.0,0.511,D,0.642,-18.362,0.265,148.202,0.0928,0
Biréli Lagrène,Je suis seul ce soir,6jiIaleR0ou5NXFBC8wWjb,35.0,0.934,0.639,309853.0,0.482,G,0.136,-7.421,0.047,105.13,0.614,0
Maracaibo 15,La Negra del Tamunangue,0Yo7tfojlD9uIhSw11kwqG,29.0,0.0898,0.739,244093.0,0.862,D,0.184,-11.884,0.0479,94.071,0.92,0
Edward Elgar,"Chanson de nuit, Op.15 No.1",6zdKHXRRPZtfO7V8f0plz4,35.0,0.964,0.132,272133.0,0.0185,G,0.107,-27.529,0.0398,79.833,0.0329,0
Massappeals,Casio Nova,3zdZoZSLN1pZRoPBvH9Cyj,33.0,0.0404,0.838,234965.0,0.724,A,0.123,-4.359,0.0717,143.085,0.212,0
Bernard Minet,Je voudrais être un Bioman,31Pj335oAm3gGHivCLDBo6,1.0,0.9,0.634,150267.0,0.919,D,0.298,-11.103,0.0421,90.281,0.898,0
Ryuichi Sakamoto,energy flow,3p8JJy1itvqQQVUEioQU6P,25.0,0.992,0.44,272501.0,0.129,A,0.123,-18.915,0.0734,83.976,0.0628,0
Feid,S.O.S.,5PFLxUvf6B2QhzcO39miHS,24.0,0.172,0.732,225187.0,0.668,C,0.108,-5.74,0.0802,82.946,0.55,0
Against Me!,Paralytic States,6iNCBysBe8sSqElsPCiwKt,35.0,1.77e-05,0.46,192587.0,0.927,C#,0.285,-3.667,0.0741,127.633,0.475,0
Brass Against,My Own Summer,1eyKn1c88LnydR6vsRdbVs,45.0,8.16e-06,0.261,216540.0,0.867,F#,0.098,-7.21,0.0817,71.306,0.331,0
Alexandre Desplat,"The Heroic Weather-Conditions of the Universe, Part 2: Smoke/Fire",6GsmDh7AXio3QbYM8m4pul,30.0,0.951,0.661,173467.0,0.203,G,0.0989,-18.487,0.048,74.972,0.323,0
Doc Watson,House Of The Rising Sun,6aSZqiETlEV3C3mjRoobbo,41.0,0.845,0.603,201013.0,0.285,F,0.121,-11.268,0.0282,100.185,0.669,0
dodie,Would You Be So Kind,3ZiuxcBeRanTjfHzVBuuQe,65.0,0.158,0.662,180952.0,0.614,E,0.126,-9.621,0.204,160.068,0.616,0
Flosstradamus,Don't Trip (feat. Run The Jewels & Sizzy Rocket),1TZ3z6TBztuY0TLUlJZ8R7,34.0,0.016,0.718,178995.0,0.941,F,0.467,-3.675,0.418,145.068,0.549,0
Samuel Barber,"Violin Concerto, Op. 14: I. Allegro",1NDz0tpOYlrsQCmpzWF3nP,24.0,0.755,0.164,619560.0,0.0996,C,0.624,-24.058,0.0421,95.734,0.0392,0
Johnny Copeland,Rolling With The Punches,0ECyZFXS02fUPW1AxMCUBQ,26.0,0.0819,0.747,394333.0,0.79,G#,0.173,-8.268,0.0258,100.322,0.865,0
Danger Doom,Space Hos,3f4NZkjWlw6jsS8B7I49hE,41.0,0.239,0.733,209480.0,0.82,C#,0.335,-7.288,0.24,97.732,0.625,0
Reel Big Fish,The Bad Guy - Live,1pttalu9S7UY9b3EK1Ph2k,27.0,0.0983,0.488,218547.0,0.802,C,0.822,-6.275,0.0809,106.977,0.794,0
Paul Mooney,The Bear-Cycle,4LmsnrH2IMz8joVpOYh8so,14.0,0.71,0.572,71200.0,0.551,D,0.809,-14.48,0.856,127.36,0.587,0
MØ,Theme Song (I'm Far Away),1iUImy2tasM9RmL5TPkSVz,65.0,0.57,0.659,149122.0,0.435,C#,0.113,-9.261,0.0743,137.933,0.613,0
The Countdown Kids,Five Little Monkeys,2j1lUyJdWkrhUuDXpzVr4U,3.0,0.683,0.948,101541.0,0.207,C,0.082,-14.49,0.0731,132.059,0.864,0
Jacques Offenbach,"Les contes d'Hoffmann, Act III: C'est une chanson d'amour (Live)",3RMtBi3xUFPMLHQCyfWuyK,0.0,0.973,0.23,104533.0,0.0631,G,0.612,-23.97,0.0636,82.306,0.0443,0
Leftöver Crack,Life Is Pain,1q8n0k1f5AXoX3aDnbRwzu,35.0,0.00698,0.267,277452.0,0.907,C,0.0861,-5.179,0.188,93.143,0.198,0
The Bamboos,I Got Burned (feat. Tim Rogers),7msOXBIAjZ23thsMIoAIZw,31.0,0.0435,0.759,260853.0,0.738,A,0.23,-5.255,0.051,120.038,0.771,0
Dead Kennedys,Soup is Good Food,1zLCRp9Co721leiKVD2dMY,43.0,0.00921,0.362,258360.0,0.934,F#,0.1,-5.106,0.0908,172.463,0.73,0
Guttermouth,Surfs Up Asshole,6DTcLZv9cmmgTq3viB04hK,24.0,0.00528,0.399,195600.0,0.893,A,0.637,-6.456,0.165,108.483,0.373,0
No Blues,Black Cadillac (feat. Tracy Bonham),5A2mxwqMtdtY7ymN4QwaLS,46.0,0.527,0.785,224467.0,0.508,D,0.108,-7.822,0.029,112.699,0.785,0
Lasso,Cómo Te Odio,7fy1buwGHqx1KVeTEtnhsL,41.0,0.139,0.551,189933.0,0.635,C,0.105,-5.676,0.0426,174.996,0.895,0
Britt Nicole,All This Time - Pop Mix,6oUKzFleJraGH2LJsWhgfg,41.0,0.119,0.633,204786.0,0.704,A,0.089,-5.23,0.0262,96.019,0.41,0
Johann Sebastian Bach,"Goldberg Variations, BWV 988: Variation 30 a 1 Clav. Quodlibet - Remastered",1Ef6KfsIBJpZe2OwvHHrpe,38.0,0.985,0.403,90080.0,0.286,G,0.138,-16.624,0.045,138.847,0.876,0
Planetshakers,The Anthem (Full Song) - Live,4pAj2BWzorcG5wN1pi5IYT,52.0,0.00213,0.333,467317.0,0.885,A#,0.0942,-5.727,0.0729,152.027,0.152,0
Keb' Mo',Anybody Seen My Girl,1pxXCLQzTQiY3xEz1uNnRP,25.0,0.884,0.581,175467.0,0.122,G,0.125,-14.725,0.0407,77.872,0.394,0
Lito Kirino,Freestyle 101,5oU3LrKCtLyw91vC1hLdV7,23.0,0.303,0.78,111024.0,0.543,C#,0.092,-12.346,0.307,139.974,0.231,0
LCD Soundsystem,Daft Punk Is Playing At My House,73mlvsfJM2qwlDUJxeaatI,59.0,0.0222,0.92,314557.0,0.914,G,0.114,-4.555,0.0444,135.923,0.974,0
Vince Staples,Summertime,7GKiBHjFfvPRNqqOuRYqLB,52.0,0.0493,0.47,259213.0,0.6,B,0.0995,-7.888,0.0679,124.534,0.0685,0
Jimmy Buffett,Miss You So Badly,6UPhWxNlKehfKCw6ilBfgG,39.0,0.56,0.733,223173.0,0.464,C,0.214,-13.049,0.0313,128.784,0.852,0
Against Me!,Thrash Unreal - Live,42ycklVCXSidXlILOBeVqS,20.0,0.0658,0.52,271000.0,0.954,F,0.686,-3.688,0.0555,128.971,0.626,0
Long Beach Dub Allstars,Lies,4hHpglumn08IwhygTt3304,22.0,0.000171,0.539,186240.0,0.956,G,0.387,-4.841,0.105,100.157,0.579,0
El Gran Combo De Puerto Rico,Esos Ojitos Negros,0rjZnZyqRc95UlV4lQNhxn,47.0,0.644,0.595,274773.0,0.764,G#,0.178,-6.503,0.0316,92.612,0.915,0
Nobuo Uematsu,Freya's Theme,0qO9NcPhCqYtuV0NsjQNAo,27.0,0.788,0.452,182267.0,0.175,G,0.123,-13.568,0.033,110.042,0.0808,0
Pietro Mascagni,Ave Maria,2l5ckSoFCDJfYpjef5Qfae,18.0,0.981,0.253,213720.0,0.0872,F,0.0987,-18.863,0.046,86.563,0.0528,0
Gov't Mule,Have a Cigar,4fkdmAih5ufSN3YHgj0Cfj,27.0,0.0374,0.367,390573.0,0.877,E,0.347,-4.211,0.0498,124.028,0.464,0
Hans Zimmer,Dinner Is Served,6lxf8Usw9v41qgznO9HCmj,33.0,0.352,0.361,90027.0,0.67,C,0.139,-9.605,0.108,124.046,0.294,0
Franz Liszt,"Via Crucis, S. 53: Station IV. Jesus begegnet seiner heiligen",46SC6Qpkr5qiFVIMFa36tk,15.0,0.985,0.462,120227.0,0.00211,G#,0.103,-46.122,0.0636,127.338,0.149,0
Metronomy,The Bay,2akjLHnHjDGsgqxuf48VYs,59.0,0.587,0.803,290173.0,0.47,F#,0.0723,-7.232,0.0387,121.226,0.887,0
Haux,Cologne,4ld2TeVRlaYNHWzi52dWsZ,63.0,0.911,0.27,251000.0,0.463,E,0.0835,-13.774,0.288,76.221,0.0557,0
Nobuo Uematsu,The Unsent Laugh,0uYlmo1wjY2FSBca4z63JB,22.0,0.896,0.336,213360.0,0.31,G,0.279,-13.303,0.036,180.012,0.0639,0
Bruno Coulais,Les choristes,3a0k8QiDymSbpL26twMokh,42.0,0.956,0.222,92293.0,0.117,D,0.0835,-17.759,0.0367,182.792,0.489,0
Lorie,C'Est Plus Fort Que Moi,00SCzd6c1nf7hpHgUiMABw,5.0,0.0579,0.643,234587.0,0.908,D,0.239,-4.042,0.0623,104.955,0.77,0
Chris McClarney,I'm Listening - Live,4H8aHbObTT2BD16ZUZjD5Y,48.0,0.183,0.403,285560.0,0.62,A,0.552,-7.982,0.0347,143.699,0.236,0
Angela Lansbury,Me and My Town,4phkpBRrdaZ8yB13BQ2XoE,14.0,0.64,0.548,264773.0,0.627,A#,0.483,-9.36,0.458,123.195,0.54,0
Jeremy Camp,It Is Well (With My Soul),3U98xo9fFntyu6QBKJ0q5W,24.0,0.0341,0.415,342747.0,0.504,D,0.0776,-7.722,0.0278,159.872,0.265,0
Guts,Hip Hop First of All,3mE8EhNxCynKpuhU8EY6e1,40.0,0.218,0.652,191138.0,0.549,G,0.274,-9.09,0.0361,83.007,0.166,0
Michael W. Smith,You Won’t Let Go,6pDKmlwm9aVIXfnwAkx5bA,39.0,0.078,0.552,239333.0,0.663,B,0.111,-6.332,0.0261,89.011,0.255,0
OneRepublic,Burning Bridges,3qd6wKpFQf4JljGU7y18CJ,48.0,0.051,0.579,257573.0,0.739,C#,0.083,-5.266,0.0258,97.976,0.235,0
Upchurch,Down in the Holler (feat. Justin Adams),4I7PLio2du8rHFfw8vca4d,53.0,0.0618,0.781,195976.0,0.567,G,0.138,-9.75,0.122,84.485,0.723,0
Stick Figure,Golden Hour,3K7g0NbCyMC2G1BpL4gVxX,47.0,0.137,0.868,266549.0,0.729,E,0.232,-6.77,0.0399,138.53,0.924,0
John Adams,"Doctor Atomic, Act I, Scene 3: ""Batter my heart""",0FpOb2Lgvb5QHEezQQ5HLC,25.0,0.909,0.231,454413.0,0.185,D,0.112,-16.304,0.0432,180.669,0.0385,0
Gaetano Donizetti,Lucia di Lammermoor: Act III: S'avanza Enrico!,0vrcs8LEACWnQQXGADU1oe,10.0,0.987,0.3,165853.0,0.235,F#,0.165,-15.797,0.0801,169.656,0.173,0
Influence Music,I AM - Live,3ZdrlIIC8vuo0dKQ8emgZZ,33.0,0.0251,0.385,297191.0,0.767,G,0.137,-5.625,0.044,175.773,0.197,0
James Morrison,We Can,7oPP58YGFX5pR3iv07K819,54.0,0.0879,0.556,223800.0,0.593,F,0.226,-6.966,0.0332,90.014,0.335,0
Kenny Wayne Shepherd,I Want You,7LcaMnxskCb9tvxggOBR2O,37.0,0.00956,0.43,387707.0,0.814,D#,0.0962,-5.079,0.0511,130.973,0.711,0
Jean Deaux,Wikipedia,5ymQzQmUWJNIMlTUAldfVZ,45.0,0.391,0.771,199970.0,0.462,B,0.267,-8.717,0.128,145.908,0.875,0
Cliff Edwards,I Can't Get the One I Want,1ksbdrxcewQXuL05gjfUDU,0.0,0.972,0.629,122307.0,0.184,A#,0.131,-14.782,0.37,168.259,0.557,0
SWV,I'm So Into You,5A0aUvnfAEcmUx3hoXjI8R,61.0,0.0624,0.85,278333.0,0.513,G,0.0689,-10.663,0.0513,99.01,0.623,0
Gorillaz,Clint Eastwood,7yMiX7n9SBvadzox8T5jzT,65.0,0.0249,0.663,340920.0,0.694,A#,0.0698,-8.627,0.172,167.964,0.524,0
Taking Back Sunday,This Photograph Is Proof (I Know You Know),3m1OyPw3fzMPAwDMcYcM6Z,52.0,0.00179,0.531,251373.0,0.856,G,0.088,-5.208,0.157,157.926,0.508,0
Dorothée,"Mais Pourtant, Tu L'aimes",5txyw01JQYWM6sgQwUP7Wl,2.0,0.115,0.822,164258.0,0.478,D,0.0506,-11.795,0.0829,86.99,0.749,0
Benjamin Booker,Always Waiting,06QPGQuQYde9HcesogUIxD,21.0,0.00124,0.335,139880.0,0.977,C#,0.217,-6.298,0.0552,108.894,0.709,0
Phish,Chalk Dust Torture - Live,2cgvK9byupJOHk3ySMdGAH,23.0,0.0645,0.282,1355560.0,0.879,B,0.713,-8.002,0.0436,97.518,0.455,0
Meeka Kates,Locked,0tG0ynzAbEkM76oyAEyuso,40.0,0.618,0.785,268743.0,0.603,F,0.0963,-9.542,0.0677,101.01,0.349,0
Bent,Exercise 4,5uXvlUVJjG2PE19fnOOMM0,36.0,0.0426,0.642,344107.0,0.752,C,0.0728,-5.569,0.0303,120.101,0.559,0
Paul Carrack,Groovin' - Remastered,4ugmCCxkMF8H8ytNDno0RL,64.0,0.117,0.742,163320.0,0.546,D,0.221,-11.094,0.0235,104.022,0.772,0
Dane Cook,Post-Battle Sex,0jg157KxKBr59qloOHzPfX,26.0,0.689,0.464,39335.0,0.998,C#,0.927,-4.009,0.932,78.866,0.0391,0
Comethazine,4 POUND,4BRlQ1wbTPn7so1ujJTzrD,59.0,0.0649,0.729,93000.0,0.917,C#,0.139,-3.869,0.304,154.91,0.86,0
Kodak Black,Institution,2G6PeWL4JanUge47LNdFtJ,61.0,0.492,0.672,176091.0,0.457,A,0.184,-10.647,0.205,86.717,0.596,0
Goldfinger,Iron Fist,1OlaiZZXmhChs1Cw63Gq1f,21.0,7.77e-05,0.425,174533.0,0.9,C,0.196,-4.959,0.0429,135.816,0.654,0
Neutro Shorty,Snowman,5WYLgpKZesChL60tOV9kQN,38.0,0.0751,0.789,155550.0,0.497,C#,0.147,-8.958,0.514,139.849,0.287,0
Future,My Collection,0526DaOuV7mRlPKxhMSJKw,55.0,0.729,0.697,255556.0,0.459,G#,0.0971,-8.498,0.448,80.085,0.409,0
Kyle Thornton & The Company,Lemonade,0FkD5vWb8VfgOPXAAy7fkA,36.0,0.447,0.652,216347.0,0.514,G,0.108,-8.363,0.146,132.051,0.571,0
